id,date,time,media_type,site_name,site_domain,mention_url,publisher_name,publisher_username,title,mention_content,topics,subtopics,classifiers,classifiers_tags,sentiment,star_rating,country,state,city,language,potential_reach,engagement_rate,interactions_total,earned_media_value,facebook_views,facebook_likes,facebook_comments,facebook_shares,facebook_love_reactions,facebook_haha_reactions,facebook_wow_reactions,facebook_sad_reactions,facebook_angry_reactions,twitter_retweets,twitter_favorites,twitter_replies,instagram_views,instagram_likes,instagram_comments,youtube_views,youtube_likes,youtube_dislikes,youtube_comments,youtube_favorites,user_age,user_gender,user_family_status,user_marital_status,user_affinities,user_jobs,user_biography_tags
208892752955,2022-06-02,10:07:00 +0200 CEST,Twitter,Twitter,http://www.twitter.com,http://twitter.com/PradoEirin/status/1532272558342606848#482389892,Fernando Prado Eirin,PradoEirin,"La ilustración de hoy en @_Boreal_ por @AugustoMetztli La mayonesa, el pan bimbo... y Get Back http://boreal.com.es/2022/06/02/10226/ vía @_Boreal_","La ilustración de hoy en @_Boreal_ por @AugustoMetztli La mayonesa, el pan bimbo... y Get Back http://boreal.com.es/2022/06/02/10226/ vía @_Boreal_",MXES | Bimbo,"Bimbo, Productos","Bimbo - Productos - Panes, Bimbo - Productos - Total",NA,neutral,NA,Spain,Catalonia,Barcelona,Spanish,148,1.3513514,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208892452797,2022-06-02,10:01:00 +0200 CEST,Twitter,Twitter,http://www.twitter.com,http://twitter.com/AugustoMetztli/status/1532271264827641856#147977781,Augusto Metztli,AugustoMetztli,"La mayonesa, el pan bimbo… y Get Back http://boreal.com.es/2022/06/02/10226/","La mayonesa, el pan bimbo… y Get Back http://boreal.com.es/2022/06/02/10226/",MXES | Bimbo,"Bimbo, Productos","Bimbo - Productos - Panes, Bimbo - Productos - Total",NA,neutral,NA,Spain,Galicia,NA,Spanish,316,1.5822785,5,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208892450357,2022-06-02,10:01:00 +0200 CEST,Twitter,Twitter,http://www.twitter.com,http://twitter.com/_Boreal_/status/1532271232669859841#1843747022,Boreal,_Boreal_,"La mayonesa, el pan bimbo… y Get Back http://boreal.com.es/2022/06/02/10226/","La mayonesa, el pan bimbo… y Get Back http://boreal.com.es/2022/06/02/10226/",MXES | Bimbo,Productos,"Bimbo - Productos - Panes, Bimbo - Productos - Total",NA,neutral,NA,Spain,NA,NA,Spanish,833,0.48019207,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208890464402,2022-06-02,09:22:00 +0200 CEST,Twitter,Twitter,http://www.twitter.com,http://twitter.com/ANYWAYSNOW/status/1532261368161763328#1428753655235239937,juno ♡s lucas ?,ANYWAYSNOW,no hay absolutamente nada para desayunar no queda ni pan bimbo?,no hay absolutamente nada para desayunar no queda ni pan bimbo?,MXES | Bimbo,"Bimbo, Productos","Bimbo - Productos - Panes, Bimbo - Productos - Total, Bimbo - occasion - times of consumption",NA,negative,NA,Not available,NA,NA,Spanish,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208889687399,2022-06-02,09:07:00 +0200 CEST,Twitter,Twitter,http://www.twitter.com,http://twitter.com/monnuwrai/status/1532257557695410177#1446544718222004233_1532208708440268800,soff♡,monnuwrai,"después del caldito me comí un pedazo de pan Bimbo cero cero y piña, después vomité aunque no fue mi intención. simplemente sentí la piña atorada en mi garganta y no me costó trabajo vomitar if that makes sense","después del caldito me comí un pedazo de pan Bimbo cero cero y piña, después vomité aunque no fue mi intención. simplemente sentí la piña atorada en mi garganta y no me costó trabajo vomitar if that makes sense",MXES | Bimbo,"Bimbo, Productos","Bimbo - Productos - Panes, Bimbo - Productos - Total",NA,negative,NA,Not available,NA,NA,Spanish,25,4,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208888157638,2022-06-02,08:37:00 +0200 CEST,Twitter,Twitter,http://www.twitter.com,http://twitter.com/nathmarz/status/1532249927111389184#1253178370600456193,Slim Nat,nathmarz,A punto de morir por comer unas putas donitas Bimbo,A punto de morir por comer unas putas donitas Bimbo,MXES | Bimbo,"Bimbo, Productos","Bimbo - Productos - Bollería, Bimbo - Productos - Total",NA,neutral,NA,Not available,NA,NA,Spanish,227,2.6431718,6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208886039259,2022-06-02,07:55:00 +0200 CEST,Twitter,Twitter,http://www.twitter.com,http://twitter.com/rsaiffe/status/1532239439400996865#34855425_1532225649615654914,Roberto FloresSaiffe,rsaiffe,@Faitelson_ESPN @marcoblasquezbc jajajajaja …¿“histórico”? ¿histórico porque lo han metido a fuerza en todos los mundiales? …no es el mejor portero y no ha sido nunca un gran portero de tanto que lo vendieron en el Pan Bimbo tú también lo compraste como si fuera bueno,@Faitelson_ESPN @marcoblasquezbc jajajajaja …¿“histórico”? ¿histórico porque lo han metido a fuerza en todos los mundiales? …no es el mejor portero y no ha sido nunca un gran portero de tanto que lo vendieron en el Pan Bimbo tú también lo compraste como si fuera bueno,MXES | Bimbo,"Bimbo, Productos","Bimbo - Productos - Panes, Bimbo - Productos - Total",NA,neutral,NA,Mexico,Jalisco,Zapopan,Spanish,435,0.22988506,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208882559384,2022-06-02,06:46:00 +0200 CEST,Twitter,Twitter,http://www.twitter.com,http://twitter.com/OscarAlbores20/status/1532222137792180224#1241461453686800385_1532158338632409090,Oscar Albores,OscarAlbores20,@AcDmas @Montzquesisalta @FonaturMX Es más integral el pan Bimbo que su payasada de tren!,@AcDmas @Montzquesisalta @FonaturMX Es más integral el pan Bimbo que su payasada de tren!,MXES | Bimbo,"Bimbo, Productos","Bimbo - Productos - Panes, Bimbo - Productos - Total",NA,neutral,NA,Mexico,Nuevo León,NA,Spanish,30,3.3333333,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208881216460,2022-06-02,06:19:00 +0200 CEST,Twitter,Twitter,http://www.twitter.com,http://twitter.com/brianflores2019/status/1532215409327411201#1113068603677597696_1532096538205270016,?Brian Flores?,brianflores2019,Se mamaron con los precios yo con un kilo de arroz y una bolsa pan de bimbo entro a la catedral del futbol 😎🤪🦅 #estadioazteca Apoco no? @davidturru @bettercallCobra RT @jonasigo: Saquen los abonos de @TigresOficial y acabemos con la mentira o realidad de la diferencia de precios...,Se mamaron con los precios yo con un kilo de arroz y una bolsa pan de bimbo entro a la catedral del futbol 😎🤪🦅 #estadioazteca Apoco no? @davidturru @bettercallCobra RT @jonasigo: Saquen los abonos de @TigresOficial y acabemos con la mentira o realidad de la diferencia de precios...,MXES | Bimbo,"Bimbo, Productos",Bimbo - Productos - Total,NA,neutral,NA,Mexico,Nuevo León,NA,Spanish,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208881058655,2022-06-02,06:16:00 +0200 CEST,Twitter,Twitter,http://www.twitter.com,http://twitter.com/LupuSolus/status/1532214638774984704#186126273_1532124427579695109,Carlos Gilbert,LupuSolus,@renegar2110 Nooooo... Te equivocas. Apenas llega a colchones Bimbo.,@renegar2110 Nooooo... Te equivocas. Apenas llega a colchones Bimbo.,MXES | Bimbo,"Bimbo, Productos","Bimbo - Productos - Bollería, Bimbo - Productos - Total",NA,negative,NA,Mexico,Tabasco,Netzahualcóyotl,Spanish,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
